Region,Rate
Greater Sydney,5.3
Rest of NSW,8.5
Greater Melbourne,6.7
Rest of Vic.,7.6
Greater Brisbane,5.9
Rest of Qld,6.2
Greater Adelaide,7.3
Rest of SA,6.7
Greater Perth,5.4
Rest of WA,5.1
Greater Hobart,8.1
Rest of Tas.,9
Greater Darwin,6.3
Rest of NT,6.2
Australian Capital Territory,7.7
