Region,Rate
Greater Sydney,5.5
Rest of NSW,7.1
Greater Melbourne,6.9
Rest of Vic.,5.9
Greater Brisbane,5.9
Rest of Qld,5.5
Greater Adelaide,5.8
Rest of SA,7.5
Greater Perth,5.9
Rest of WA,6.8
Greater Hobart,10.3
Rest of Tas.,8.9
Greater Darwin,7.6
Rest of NT,7.8
Australian Capital Territory,7

